D1-1-in,D1-1-out,D1-2-in,D1-2-out,D3-1-in,D3-1-out,D3-2-in,D3-2-out,D4-1-in,D4-1-out,D4-2-in,D4-2-out
-0.7506065,0.06728,-1.022677,4.00E-05,-1.020022,3.50E-04,-0.7681135,0.06806,-1.046378,0.00421,-0.533188,0.06981
-0.743314,0.06766,-1.0149985,6.20E-04,-1.012098,3.80E-04,-0.760762,0.06953,-1.039119,0.00457,-0.525856,0.07046
-0.736024,0.06713,-1.0073435,3.50E-04,-1.0028985,3.60E-04,-0.7533725,0.06854,-1.031881,0.00494,-0.5185535,0.07053
-0.728714,0.06785,-0.999335,2.60E-04,-0.9911355,3.60E-04,-0.746047,0.06842,-1.0245565,0.00462,-0.5112405,0.07052
-0.7213435,0.06799,-0.988459,6.10E-04,-0.980944,4.60E-04,-0.738721,0.06834,-1.0172455,0.00437,-0.50391,0.06994
-0.7140215,0.06667,-0.9780415,-5.20E-04,-0.973313,-1.10E-04,-0.7314215,0.06777,-1.0100195,0.00479,-0.496596,0.07053
-0.7066845,0.06808,-0.970547,0.00189,-0.965363,7.00E-04,-0.7240795,0.06908,-1.0021265,0.00483,-0.4891885,0.07179
-0.699326,0.06667,-0.962974,-3.10E-04,-0.957462,3.00E-05,-0.7167495,0.06743,-0.9913015,0.00556,-0.4818205,0.0696
-0.692072,0.066,-0.9553525,5.50E-04,-0.9495525,6.40E-04,-0.709417,0.06916,-0.981102,0.00825,-0.474551,0.06984
-0.6848095,0.06696,-0.9477295,3.70E-04,-0.941522,2.90E-04,-0.70206,0.06799,-0.973751,0.00459,-0.467276,0.06939
-0.6774435,0.06757,-0.940009,4.90E-04,-0.9334775,3.30E-04,-0.6947715,0.06775,-0.9664145,0.00407,-0.459962,0.07076
-0.670055,0.0671,-0.932267,6.60E-04,-0.9254915,3.70E-04,-0.6874965,0.06733,-0.9591645,0.00385,-0.4526135,0.0702
-0.662737,0.06628,-0.9245995,-1.40E-04,-0.9175075,2.80E-04,-0.680234,0.06734,-0.9518765,0.00388,-0.4452855,0.06959
-0.6554025,0.06728,-0.916923,5.90E-04,-0.9094935,2.90E-04,-0.6728515,0.06953,-0.944455,0.00354,-0.4379005,0.07102
-0.6480575,0.06664,-0.9092195,1.50E-04,-0.90152,3.70E-04,-0.6654655,0.06713,-0.937027,0.00393,-0.4305475,0.06937
-0.640702,0.06758,-0.9015185,2.00E-04,-0.8935955,2.10E-04,-0.65813,0.06848,-0.929695,0.00371,-0.423321,0.06828
-0.633326,0.06658,-0.8938545,5.90E-04,-0.8856475,4.70E-04,-0.650771,0.06775,-0.922352,0.00353,-0.416099,0.06925
-0.626024,0.06607,-0.8861985,0.00249,-0.8776165,2.30E-04,-0.643434,0.0679,-0.9149995,0.00334,-0.408722,0.0716
-0.6187375,0.06596,-0.878499,-0.00359,-0.8695705,3.20E-04,-0.636078,0.06788,-0.907637,0.00372,-0.4013225,0.06929
-0.611401,0.0665,-0.870756,0.00142,-0.8616065,3.80E-04,-0.6287485,0.06711,-0.9002975,0.00377,-0.3939885,0.07021
-0.604003,0.0668,-0.8630465,7.10E-04,-0.8536155,2.90E-04,-0.621428,0.06747,-0.892996,0.00367,-0.386609,0.07064
-0.5966585,0.06566,-0.855368,1.30E-04,-0.8456315,3.10E-04,-0.6141045,0.06717,-0.88569,0.00338,-0.379248,0.0692
-0.5893045,0.06718,-0.8476925,8.20E-04,-0.8376925,2.80E-04,-0.6067295,0.06828,-0.8783075,0.00359,-0.3718685,0.07063
-0.5819175,0.06646,-0.84004,2.00E-04,-0.8296935,4.60E-04,-0.5993565,0.06663,-0.8709065,0.00399,-0.3644915,0.0698
-0.574606,0.06565,-0.832404,3.50E-04,-0.8216515,1.80E-04,-0.5920255,0.0672,-0.8635635,0.00362,-0.3571895,0.06876
-0.5672845,0.0662,-0.8246505,2.80E-04,-0.8136405,3.50E-04,-0.584687,0.06684,-0.856225,0.00344,-0.3498805,0.06928
-0.559856,0.06757,-0.816898,2.70E-04,-0.8056725,2.60E-04,-0.5773605,0.06692,-0.848883,0.00314,-0.34253,0.06978
-0.5524665,0.06522,-0.809222,1.80E-04,-0.79772,2.80E-04,-0.5700255,0.0668,-0.8415775,0.00309,-0.335131,0.07041
-0.5451465,0.06555,-0.8015755,1.40E-04,-0.7897505,2.90E-04,-0.562696,0.06659,-0.8342795,0.00366,-0.3277835,0.069
-0.5378245,0.06508,-0.7939315,1.40E-04,-0.781803,2.60E-04,-0.5552965,0.06787,-0.826846,0.00432,-0.320444,0.06982
-0.5305245,0.0649,-0.7862975,1.60E-04,-0.773854,2.50E-04,-0.5478925,0.06651,-0.819411,0.00399,-0.313062,0.06892
-0.523187,0.06527,-0.7786615,-1.90E-04,-0.765936,2.70E-04,-0.5405775,0.06599,-0.8120675,0.00434,-0.3057335,0.06866
-0.515857,0.06483,-0.7710175,5.40E-04,-0.757926,2.80E-04,-0.5332725,0.06582,-0.804732,0.0042,-0.2984175,0.0692
-0.508557,0.06437,-0.763375,3.50E-04,-0.7498875,2.80E-04,-0.525943,0.06608,-0.797418,0.00394,-0.2910285,0.07028
